time,open,high,low,close,tick_volume,spread,real_volume,SMA_10,SMA_50,EMA_10,EMA_50,RSI,Signal
2025-02-17 02:00:00,1.04882,1.04932,1.04854,1.04921,943,2,0,1.049649,,1.0491100754865366,1.0455957873941397,64.47519143422528,0
2025-02-17 03:00:00,1.04921,1.05063,1.04894,1.05052,1344,4,0,1.049621,,1.0493664253980752,1.0457888937708402,69.0140747867498,0
2025-02-17 04:00:00,1.05051,1.05052,1.0495700000000001,1.05011,1100,3,0,1.0496580000000002,,1.0495016207802434,1.0459583489170818,64.85396870135457,0
2025-02-17 05:00:00,1.05012,1.05035,1.04941,1.04945,1231,4,0,1.0495320000000001,,1.0494922351838354,1.0460952764105298,53.57940995400735,0
2025-02-17 06:00:00,1.04946,1.04972,1.04893,1.04954,900,3,0,1.049443,,1.0495009196958653,1.046230363610117,40.54440447533411,0
2025-02-17 07:00:00,1.04954,1.04981,1.04846,1.04897,1531,4,0,1.049354,,1.0494043888420717,1.0463378003312889,37.78370455311228,0
2025-02-17 08:00:00,1.04897,1.04933,1.0488,1.04915,1367,4,0,1.04935,,1.0493581363253313,1.0464480826712383,45.53705540818881,0
2025-02-17 09:00:00,1.04917,1.04952,1.04803,1.04824,2145,4,0,1.049276,,1.0491548388116345,1.046518353939033,31.145031510984722,0
2025-02-17 10:00:00,1.04826,1.04847,1.04709,1.04742,2344,4,0,1.049143,,1.0488394135731554,1.0465537126080906,28.77291392354219,0
2025-02-17 11:00:00,1.04742,1.04813,1.04712,1.04742,1798,4,0,1.0490030000000001,,1.0485813383780362,1.0465876846626754,31.288336839926643,0
2025-02-17 12:00:00,1.04741,1.04893,1.04731,1.04889,1525,3,0,1.048971,,1.0486374586729388,1.046677971538649,47.950810501211265,0
2025-02-17 13:00:00,1.04889,1.04891,1.04777,1.04818,1421,4,0,1.048737,,1.048554284368768,1.0467368746155645,44.88490245027232,0
2025-02-17 14:00:00,1.04818,1.04849,1.04685,1.0472,1602,4,0,1.0484459999999998,,1.0483080508471738,1.0467550363953462,40.95681944695967,0
2025-02-17 15:00:00,1.04721,1.04763,1.0467,1.04742,1395,4,0,1.0482429999999998,,1.0481465870567785,1.0467811133994502,41.97247032552049,0
2025-02-17 16:00:00,1.04742,1.04792,1.04713,1.04783,1321,4,0,1.0480720000000001,1.047142,1.0480890257737279,1.046822246207315,42.10525641334619,1
2025-02-17 17:00:00,1.04783,1.04841,1.04741,1.04796,1465,4,0,1.047971,1.0473162,1.048065566542141,1.0468668640031065,33.0687769449367,1
2025-02-17 18:00:00,1.04796,1.0483,1.04767,1.04786,1137,4,0,1.047842,1.0474742,1.0480281908072062,1.0469058105127886,34.482751961951664,1
2025-02-17 19:00:00,1.04786,1.04844,1.04779,1.04825,742,0,0,1.0478429999999999,1.0475728000000002,1.0480685197513504,1.0469585238260126,41.40400315678981,1
2025-02-17 20:00:00,1.04825,1.04826,1.04789,1.04821,469,0,0,1.047922,1.0476818,1.048094243432923,1.0470076013230316,40.40403224161101,1
2025-02-17 21:00:00,1.04821,1.04837,1.04795,1.04816,489,2,0,1.047996,1.0477942,1.0481061991723915,1.047052793428011,43.681737729418074,1
2025-02-17 22:00:00,1.04814,1.04836,1.048,1.04834,431,0,0,1.047941,1.0479424,1.0481487084137746,1.0471032721171085,43.681737729418074,-1
2025-02-17 23:00:00,1.04836,1.04851,1.04817,1.04828,413,0,0,1.0479509999999999,1.0480340000000001,1.04817257961127,1.0471494183085945,50.35969954971628,-1
2025-02-18 00:00:00,1.04762,1.04839,1.04739,1.04797,405,15,0,1.048028,1.0480702000000002,1.0481357469546753,1.0471815979827674,55.445529183417904,-1
2025-02-18 01:00:00,1.04788,1.04856,1.04768,1.04848,520,2,0,1.0481340000000001,1.0481144,1.0481983384174616,1.0472325157089333,59.53235911055721,1
2025-02-18 02:00:00,1.04848,1.04863,1.04727,1.0475,1119,4,0,1.0481010000000002,1.0481328,1.0480713677961049,1.0472430052889752,36.29190319355763,-1
2025-02-18 03:00:00,1.0475,1.04754,1.04626,1.04661,1574,4,0,1.047966,1.048142,1.0478056645604494,1.0472181815521528,35.047609701591156,-1
2025-02-18 04:00:00,1.04661,1.04706,1.04654,1.04675,1271,4,0,1.047855,1.0481554,1.0476137255494584,1.0471998214912843,44.89794493035947,-1
2025-02-18 05:00:00,1.04675,1.04723,1.04619,1.04629,1483,3,0,1.047659,1.0481628,1.0473730481768295,1.0471641422171163,37.84945097005707,-1
2025-02-18 06:00:00,1.04626,1.04639,1.04554,1.0457,1150,4,0,1.0474080000000001,1.0481634,1.0470688575992242,1.0471067248752686,27.95030245746912,-1
2025-02-18 07:00:00,1.04571,1.0459,1.04522,1.0455,1334,4,0,1.047142,1.0481558000000002,1.0467836107630015,1.0470437160566306,24.897952069973343,-1
2025-02-18 08:00:00,1.04547,1.04632,1.04546,1.04613,1280,3,0,1.046921,1.0481688,1.0466647724424556,1.04700788405441,34.06997279963808,-1
2025-02-18 09:00:00,1.04605,1.0469,1.04586,1.04634,1852,4,0,1.0467270000000002,1.0481904,1.0466057229074637,1.0469816925228643,31.809515326987693,-1
2025-02-18 10:00:00,1.04633,1.04688,1.04546,1.04567,2127,4,0,1.046497,1.0481868,1.046435591469743,1.046930253600399,28.401353781991105,-1
2025-02-18 11:00:00,1.04567,1.0465,1.04554,1.04639,1771,4,0,1.046288,1.0481851999999998,1.046427302111608,1.0469090671846972,36.48854181924225,-1
2025-02-18 12:00:00,1.04648,1.04671,1.04589,1.04621,1687,4,0,1.046159,1.0481562000000002,1.0463877926367702,1.0468816527852973,33.74045080356707,-1
2025-02-18 13:00:00,1.04627,1.04648,1.04612,1.04626,1216,4,0,1.046124,1.0481192,1.046364557611903,1.0468572742446975,34.55656752611495,-1
2025-02-18 14:00:00,1.04627,1.04669,1.04528,1.04552,1698,3,0,1.046001,1.0480956000000001,1.046211001682466,1.0468048321174546,32.424670675100245,-1
2025-02-18 15:00:00,1.04552,1.04567,1.0441799999999999,1.04447,2149,4,0,1.045819,1.0480502,1.0458944559220176,1.046713270073633,23.30225930450321,-1
2025-02-18 16:00:00,1.04446,1.04546,1.04414,1.04522,2233,3,0,1.045771,1.0480114,1.0457718275725598,1.0466547104629023,34.340652736686195,-1
2025-02-18 17:00:00,1.04522,1.04668,1.04515,1.04664,2501,4,0,1.045885,1.047968,1.0459296771048217,1.046654133582004,50.192052462372,-1
2025-02-18 18:00:00,1.04661,1.04694,1.0454,1.04566,1928,4,0,1.045838,1.047864,1.0458806449039448,1.0466151479513373,43.69941489257959,-1
2025-02-18 19:00:00,1.04565,1.04566,1.0439,1.04458,1499,3,0,1.0456619999999999,1.0477396,1.0456441640123184,1.0465353382277556,40.776692870833756,-1
2025-02-18 20:00:00,1.04458,1.04477,1.0435,1.04439,1388,4,0,1.045534,1.0476326,1.0454161341918968,1.0464512073168633,42.615551334635526,-1
2025-02-18 21:00:00,1.04438,1.04496,1.04405,1.04451,1136,4,0,1.0453459999999999,1.0475086,1.0452513825206429,1.0463750815397312,44.36859361592316,-1
2025-02-18 22:00:00,1.0445,1.04477,1.04411,1.04476,1070,4,0,1.045201,1.0473952000000002,1.0451620402441624,1.0463117450087616,41.85492763413713,-1
2025-02-18 23:00:00,1.04473,1.04493,1.04439,1.04441,633,0,0,1.045016,1.0472862,1.0450253056543146,1.0462371667731238,38.713443953353476,-1
2025-02-19 00:00:00,1.04412,1.04509,1.04412,1.04506,539,4,0,1.04497,1.0472036,1.0450316137171665,1.0461910033702562,46.42437690572925,-1
2025-02-19 01:00:00,1.04506,1.04515,1.04449,1.0448,544,0,0,1.0450030000000001,1.04712,1.044989502132227,1.0461364542184814,40.14869191968158,-1
2025-02-19 02:00:00,1.0448,1.04492,1.04439,1.04455,952,2,0,1.044936,1.0470359999999999,1.0449095926536403,1.0460742403275607,39.803432957640325,-1
2025-02-19 03:00:00,1.04459,1.04479,1.04411,1.04465,1413,4,0,1.044737,1.0469526,1.044862393989342,1.0460183877656954,40.17093330411455,-1
2025-02-19 04:00:00,1.04463,1.0452,1.04446,1.04518,1276,4,0,1.044689,1.046872,1.0449201405367343,1.0459855098140998,47.8696657872766,-1
2025-02-19 05:00:00,1.04517,1.0452,1.04476,1.04513,874,4,0,1.0447440000000001,1.0467642000000001,1.0449582968027826,1.0459519604096252,54.727782719355076,-1
2025-02-19 06:00:00,1.04513,1.0453,1.04482,1.04523,697,3,0,1.044828,1.0466666,1.045007697384095,1.0459236482366987,50.07897786562942,-1
2025-02-19 07:00:00,1.04522,1.04562,1.0449,1.04561,757,0,0,1.044938,1.0465898000000002,1.045117206950623,1.045911348305848,40.26463962750479,-1
2025-02-19 08:00:00,1.04558,1.04612,1.04543,1.04548,1237,4,0,1.04501,1.0465086000000001,1.045183169323237,1.0458944326860107,47.97295784636387,-1
2025-02-19 09:00:00,1.04547,1.04594,1.04486,1.04511,1862,4,0,1.04508,1.0464314000000001,1.045169865809921,1.0458636706198927,57.104536207411584,-1
2025-02-19 10:00:00,1.04517,1.04558,1.04386,1.04405,2070,4,0,1.044979,1.0463294,1.0449662538444808,1.0457925462818578,46.304333733463515,-1
2025-02-19 11:00:00,1.04404,1.0443500000000001,1.04284,1.0429,1899,3,0,1.0447890000000002,1.0462226,1.0445905713273025,1.0456791130943341,35.7015897012018,-1
2025-02-19 12:00:00,1.04291,1.04295,1.04188,1.04237,1894,3,0,1.044571,1.0461216,1.0441868310859748,1.0455493439533798,29.78002678645771,-1
2025-02-19 13:00:00,1.0424,1.0433,1.042,1.04244,2349,4,0,1.04435,1.046022,1.0438692254339792,1.0454274088963846,32.50443241452818,-1
2025-02-19 14:00:00,1.04245,1.04317,1.04217,1.04281,1841,4,0,1.0441129999999998,1.0459004,1.0436766389914374,1.0453247654102518,28.97195503537533,-1
2025-02-19 15:00:00,1.04282,1.04351,1.04251,1.04337,2222,0,0,1.0439370000000001,1.0458042,1.0436208864475396,1.045248107943183,37.3451234897029,-1
